price,bedrooms,sqft_living,sqft_lot,waterfront,grade,yr_built,yr_renovated
221900.0,3,1180,5650,0,7,1955,0
538000.0,3,2570,7242,0,7,1951,1991
180000.0,2,770,10000,0,6,1933,0
604000.0,4,1960,5000,0,7,1965,0
510000.0,3,1680,8080,0,8,1987,0
1225000.0,4,5420,101930,0,11,2001,0
257500.0,3,1715,6819,0,7,1995,0
291850.0,3,1060,9711,0,7,1963,0
229500.0,3,1780,7470,0,7,1960,0
323000.0,3,1890,6560,0,7,2003,0
662500.0,3,3560,9796,0,8,1965,0
468000.0,2,1160,6000,0,7,1942,0
310000.0,3,1430,19901,0,7,1927,0
400000.0,3,1370,9680,0,7,1977,0
530000.0,5,1810,4850,0,7,1900,0
650000.0,4,2950,5000,0,9,1979,0
395000.0,3,1890,14040,0,7,1994,0
485000.0,4,1600,4300,0,7,1916,0
189000.0,2,1200,9850,0,7,1921,0
230000.0,3,1250,9774,0,7,1969,0
385000.0,4,1620,4980,0,7,1947,0
2000000.0,3,3050,44867,0,9,1968,0
285000.0,5,2270,6300,0,8,1995,0
252700.0,2,1070,9643,0,7,1985,0
329000.0,3,2450,6500,0,8,1985,0
233000.0,3,1710,4697,0,6,1941,0
937000.0,3,2450,2691,0,8,1915,0
667000.0,3,1400,1581,0,8,1909,0
438000.0,3,1520,6380,0,7,1948,0
719000.0,4,2570,7173,0,8,2005,0
580500.0,3,2320,3980,0,8,2003,0
280000.0,2,1190,1265,0,7,2005,0
687500.0,4,2330,5000,0,7,1929,0
535000.0,3,1090,3000,0,8,1929,0
322500.0,4,2060,6659,0,7,1981,0
696000.0,3,2300,3060,0,8,1930,2002
550000.0,4,1660,34848,0,5,1933,0
640000.0,4,2360,6000,0,8,1904,0
240000.0,4,1220,8075,0,7,1969,0
605000.0,4,2620,7553,0,8,1996,0
625000.0,4,2570,5520,0,9,2000,0
775000.0,4,4220,24186,0,8,1984,0
861990.0,5,3595,5639,0,9,2014,0
685000.0,3,1570,2280,0,7,1922,0
309000.0,3,1280,9656,0,6,1959,0
488000.0,3,3160,13603,0,8,2003,0
210490.0,3,990,8528,0,6,1966,0
785000.0,4,2290,13416,0,9,1981,0
450000.0,3,1250,5963,0,7,1953,0
1350000.0,3,2753,65005,1,9,1953,0
228000.0,3,1190,9199,0,7,1955,0
345000.0,5,3150,9134,0,8,1966,0
600000.0,3,1410,4080,0,7,1950,0
585000.0,2,1980,8550,0,7,1981,0
920000.0,5,2730,6000,0,8,1927,0
885000.0,4,2830,5000,0,9,1995,0
292500.0,4,2250,4495,0,7,2008,0
301000.0,3,2420,4750,0,8,2003,0
951000.0,5,3250,14342,0,8,1968,0
430000.0,4,1850,9976,0,8,1991,0
650000.0,3,2150,21235,0,8,1959,0
289000.0,3,1260,8400,0,7,1954,0
505000.0,3,2519,8690,0,8,1973,0
549000.0,3,1540,1044,0,8,2014,0
425000.0,3,1660,6000,0,7,1979,0
317625.0,3,2770,3809,0,7,1925,0
975000.0,4,2720,11049,0,10,1989,0
287000.0,4,2240,4648,0,7,2005,0
204000.0,3,1000,12070,0,7,1968,0
1325000.0,5,3200,20158,0,8,1965,0
1040000.0,5,4770,50094,0,11,1973,0
325000.0,3,1260,5612,0,7,1972,0
571000.0,4,2750,7807,0,7,1916,0
360000.0,4,2380,5000,0,8,2005,0
349000.0,3,1790,50529,0,7,1965,0
832500.0,4,3430,35102,0,10,1986,0
380000.0,4,1760,7300,0,7,1956,0
480000.0,3,1040,5060,0,7,1941,0
410000.0,3,1410,5060,0,7,1956,0
720000.0,4,3450,39683,0,10,2002,0
390000.0,3,2350,5100,0,8,2003,0
360000.0,4,1900,5889,0,7,1992,0
355000.0,2,2020,6720,0,7,1948,0
356000.0,3,1680,8712,0,8,1964,0
315000.0,3,960,6634,0,6,1952,0
940000.0,3,2140,3600,0,9,1925,0
305000.0,5,2660,8400,0,7,1961,0
461000.0,3,2770,6278,0,9,2006,0
215000.0,2,1610,2040,0,7,1979,0
335000.0,2,1030,1066,0,7,2006,0
243500.0,4,1980,7403,0,7,1988,0
1099880.0,5,3520,6353,0,10,2001,0
153000.0,3,1200,10500,0,7,1962,0
430000.0,3,1580,5000,0,8,1939,0
700000.0,3,1580,5000,0,8,1939,0
905000.0,4,3300,10250,0,7,1946,1991
247500.0,3,1960,15681,0,7,1967,0
199000.0,4,1160,6400,0,7,1975,0
314000.0,3,1810,41800,0,7,1980,0
437500.0,3,2320,36847,0,9,1992,0
850830.0,3,2070,13241,0,9,1910,0
555000.0,3,1980,3478,0,7,1929,0
699950.0,3,2190,107593,0,8,1983,0
1088000.0,3,2920,8113,0,8,1950,2010
290000.0,3,1210,33919,0,7,1954,0
375000.0,3,2340,10005,0,8,1978,0
460000.0,3,1670,4005,0,7,1939,0
188500.0,2,1240,2493,0,8,1985,0
680000.0,4,3140,28037,0,10,1991,0
470000.0,5,2030,12342,0,7,1942,0
597750.0,4,2310,9624,0,8,1984,0
570000.0,3,1260,3328,0,6,1905,0
272500.0,3,1540,12600,0,7,1980,0
329950.0,3,2080,5969,0,7,1971,0
480000.0,4,3230,16171,0,9,2001,0
740500.0,3,4380,6350,0,8,1900,1999
518500.0,3,1590,1102,0,8,2010,0
205425.0,2,880,6780,0,6,1945,0
171800.0,4,1570,9600,0,6,1950,0
535000.0,4,1610,2982,0,7,1925,0
660000.0,3,2400,6474,0,8,1964,0
391500.0,3,1450,9132,0,7,1987,0
395000.0,2,770,6000,0,6,1953,0
445000.0,4,2100,4400,0,7,1924,0
770000.0,3,2910,10204,0,9,1990,0
1450000.0,4,2750,17789,0,8,1914,1992
445000.0,3,2100,8201,0,8,1967,0
260000.0,4,2160,8811,0,8,1978,0
822500.0,5,2320,4960,0,7,1926,0
430000.0,4,2070,4310,0,7,2004,0
212000.0,3,1060,7875,0,7,1986,0
660500.0,4,2010,9603,0,8,1986,0
784000.0,3,3950,111078,0,9,1989,0
453246.0,3,2010,2287,0,8,2014,0
675000.0,4,2140,2278,0,9,2005,0
199000.0,3,1320,17390,0,7,1956,0
220000.0,4,2020,7840,0,7,1968,0
452000.0,4,2590,10002,0,8,1968,0
382500.0,2,1190,4440,0,6,1981,0
519950.0,3,1170,1249,0,8,2014,0
665000.0,2,1110,3200,0,7,1925,0
527700.0,5,2820,9375,0,8,1968,0
205000.0,3,1610,8579,0,7,1962,0
420000.0,3,1060,8097,0,7,1923,0
500000.0,4,2030,8517,0,8,1961,0
921500.0,4,3670,315374,0,9,1994,0
890000.0,4,2550,4000,0,8,1905,0
430000.0,2,2420,60984,0,7,2007,0
258000.0,5,2260,12500,0,8,1960,0
511000.0,3,1430,3455,0,7,1947,0
532170.0,3,1360,3090,0,8,1990,0
560000.0,3,1110,5000,0,7,1947,0
282950.0,3,1250,8200,0,7,1954,0
2250000.0,4,5180,19850,0,12,2006,0
350000.0,1,700,5100,0,7,1942,0
215000.0,3,1180,7669,0,7,1967,0
650000.0,5,3960,25245,0,9,1996,0
320000.0,4,2640,7500,0,8,1967,0
247000.0,3,1270,7198,0,7,1916,2013
320000.0,4,1760,11180,0,8,1968,0
255000.0,5,2060,8632,0,7,1962,0
438000.0,3,1780,9660,0,7,1962,0
900000.0,3,3400,16603,0,10,2000,0
441000.0,3,1910,7280,0,7,1979,0
420000.0,3,2020,38332,0,7,1975,0
370000.0,3,1580,7000,0,7,1976,0
269950.0,2,1340,7250,0,5,1949,0
807100.0,4,2680,4499,0,9,1999,0
653000.0,3,2680,9750,0,8,1979,0
371500.0,3,1370,8336,0,7,1964,0
284000.0,3,1560,21000,0,7,1954,0
272000.0,3,2160,7140,0,7,1978,0
313000.0,3,1340,7912,0,7,1955,0
917500.0,4,3880,35003,0,10,1984,0
673000.0,4,2590,8190,0,8,1980,0
425000.0,3,1120,1100,0,8,2008,0
399950.0,5,1970,5400,0,7,1986,0
385000.0,3,1220,4800,0,6,1901,0
269950.0,3,1950,7560,0,7,1975,0
330000.0,2,1350,8220,0,7,1949,0
260000.0,3,1670,5797,0,7,1988,0
470000.0,4,2380,5125,0,7,1925,0
589000.0,4,2440,9600,0,7,1961,0
163500.0,2,1050,3419,0,7,1996,0
835000.0,4,3130,13412,0,9,1993,0
1095000.0,5,4090,12850,0,10,1986,0
269000.0,4,1490,10000,0,8,1969,0
560000.0,3,1900,8744,0,8,1987,0
615000.0,4,1330,2400,0,6,1901,0
585188.0,3,2230,10026,0,8,1975,0
305000.0,3,1650,9480,0,7,1977,0
166950.0,3,1190,8820,0,6,1959,0
799000.0,3,2140,9897,0,8,1959,0
400000.0,3,2180,7508,0,7,1962,0
230000.0,3,1060,10228,0,7,1948,0
256883.0,3,1690,5025,0,8,2003,0
423000.0,4,1970,6480,0,7,1920,0
465000.0,3,2150,4084,0,8,2007,0
440000.0,3,1910,66211,0,7,1997,0
385000.0,3,1350,155073,0,7,1969,0
210000.0,3,860,11725,0,6,1943,0
297000.0,3,1940,14952,0,8,1994,0
470000.0,3,1010,5000,0,7,1952,0
226500.0,3,1300,7370,0,7,1976,0
274250.0,3,910,8450,0,6,1962,0
840000.0,4,2480,11010,0,9,1966,0
677900.0,3,2440,4587,0,8,2010,0
425000.0,3,1010,5864,0,7,1915,0
180250.0,2,900,9600,0,6,1941,0
464000.0,6,2300,3404,0,7,1920,1994
320000.0,4,1550,7579,0,8,1993,0
625504.0,3,1270,1566,0,8,2014,0
592500.0,4,2240,12032,0,9,1983,0
465000.0,3,2714,17936,0,9,2005,0
477000.0,4,1720,6270,0,8,1978,0
280000.0,2,850,16400,0,6,1923,0
1505000.0,5,3300,33474,0,9,1957,1991
445838.0,3,2250,5692,0,8,2000,0
1072000.0,2,3900,14864,0,8,1947,0
467000.0,2,1320,10800,0,8,1947,0
686000.0,4,2760,6440,0,10,1999,0
279950.0,3,1750,9750,0,7,1961,0
527000.0,4,2330,19436,0,8,1987,0
325000.0,3,2220,16020,0,8,1966,0
328000.0,3,2020,8379,0,7,1994,0
390000.0,3,1250,7500,0,7,1942,0
479950.0,2,1510,6516,0,8,2005,0
264950.0,4,1720,9753,0,7,1978,0
235000.0,3,1430,15246,0,7,1961,0
516500.0,3,1480,4729,0,7,2004,0
655000.0,2,1450,15798,1,7,1915,1978
500000.0,4,2280,15347,0,7,1960,0
315000.0,6,2940,7350,0,8,1978,0
213000.0,2,1000,10200,0,6,1961,0
475000.0,3,2480,5280,0,7,1947,0
1025000.0,5,3760,28040,0,10,1983,0
416000.0,3,2220,94300,0,7,1976,0
410000.0,4,1970,4740,0,7,1904,2005
800000.0,3,3830,221284,0,10,1993,0
472000.0,6,4410,14034,0,9,1965,0
225000.0,3,1430,8505,0,7,1968,0
210000.0,2,830,6000,0,6,1940,0
455000.0,2,1430,5000,0,7,1925,0
225000.0,3,1300,8316,0,6,1954,0
480000.0,2,1030,3060,0,7,1918,0
363000.0,3,2740,11872,0,9,1990,0
2400000.0,4,3650,8354,1,9,2000,0
181000.0,2,720,5120,0,6,1954,0
250000.0,4,2010,7312,0,7,1976,0
481000.0,3,1560,3000,0,6,1918,0
260000.0,3,1810,7209,0,7,1978,0
455000.0,4,3360,7685,0,9,2001,0
415000.0,3,1510,36224,0,8,1991,0
349500.0,3,1400,3538,0,7,1953,0
245000.0,3,1730,7442,0,7,1987,0
592500.0,2,1420,9191,0,7,1928,0
385000.0,4,2360,7620,0,7,1955,0
315000.0,3,1580,11455,0,7,1974,0
255000.0,3,1230,10170,0,7,1979,0
693000.0,4,2460,4425,0,8,2006,0
780000.0,3,1660,4400,0,8,1911,0
237000.0,3,1270,8470,0,7,1960,0
525000.0,3,2100,40510,0,10,1979,0
425000.0,2,770,5040,0,5,1930,0
369900.0,1,760,10079,1,5,1936,0
290000.0,4,1700,7280,0,7,1988,0
285000.0,3,1120,10701,0,7,1954,0
415000.0,2,1070,4500,0,7,1937,0
272500.0,3,2070,9900,0,8,1979,0
2900000.0,4,5050,20100,0,11,1982,2008
1365000.0,4,5310,57346,0,11,1989,0
436000.0,2,1040,7538,0,7,1939,0
210000.0,3,1700,11390,0,7,1967,0
236000.0,3,1300,5898,0,7,1961,0
331000.0,3,1080,1306,0,7,1954,2003
365000.0,3,2653,4510,0,8,2006,0
450000.0,3,2290,16258,0,8,1960,0
770000.0,4,3820,26300,0,9,2014,0
455000.0,4,2210,49375,0,8,1997,0
405000.0,3,2390,6000,0,6,1908,0
304900.0,4,2600,11325,0,7,1969,0
170000.0,2,860,5265,0,6,1931,0
2050000.0,5,3830,8480,0,9,1905,1994
780000.0,4,3500,7048,0,9,2005,0
330000.0,3,2420,13959,0,8,1988,0
370000.0,4,2720,8666,0,9,1992,0
467000.0,5,2500,13500,0,7,1979,0
405000.0,3,1670,6720,0,7,1980,0
675000.0,5,2900,10300,0,8,1985,0
500000.0,2,1640,14100,0,7,1954,0
389999.0,4,1890,15770,0,7,1968,0
630000.0,4,2950,9025,0,8,1975,0
360000.0,4,2160,9528,0,9,1992,0
580000.0,4,3280,11060,0,8,1986,0
550000.0,3,1970,4166,0,8,1929,0
879000.0,4,3360,22111,0,10,1994,0
265000.0,3,1320,8959,0,7,1993,0
446500.0,3,2650,7286,0,8,1990,0
404000.0,3,2030,8880,0,7,1963,0
267500.0,3,1590,11914,0,7,1957,0
3075000.0,4,4550,18641,1,10,2002,0
335000.0,3,2440,7632,0,8,1998,0
576000.0,3,1940,9000,0,7,1948,0
208633.0,3,2040,3810,0,8,2006,0
315000.0,3,2200,8750,0,7,1964,0
725000.0,3,1920,3300,0,8,1913,0
550000.0,4,1800,7750,0,8,1965,0
610750.0,4,2180,7297,0,8,1984,0
550700.0,2,1010,5000,0,6,1908,0
665000.0,4,3320,10574,0,8,1960,0
834000.0,4,2370,4000,0,8,1928,0
201000.0,5,1660,78408,0,6,1915,0
2384000.0,5,3650,9050,0,10,1921,0
1384000.0,4,4290,12103,0,11,1997,0
1400000.0,4,4290,12103,0,11,1997,0
305000.0,4,1950,7700,0,8,1979,0
487000.0,3,2590,14052,0,8,1948,0
390000.0,3,1930,64904,0,8,1988,0
548000.0,2,1470,3864,0,7,1916,0
268750.0,4,800,8775,0,6,1943,0
819900.0,5,3150,7119,0,9,2013,0
520000.0,3,2030,16200,0,8,1984,0
230000.0,3,1450,11204,0,7,2003,0
240000.0,3,1510,10248,0,7,1969,0
232000.0,2,1240,12092,0,6,1922,1984
240500.0,2,1240,12092,0,6,1922,1984
274975.0,3,3030,45004,0,9,1987,0
740000.0,4,2050,4400,0,9,1922,0
186375.0,3,1000,7636,0,7,1952,0
790000.0,3,2370,10289,0,9,1977,0
880000.0,4,2800,6750,0,9,1951,2002
279000.0,6,2240,11180,0,7,1955,0
295000.0,3,1810,10530,0,8,1991,0
640000.0,2,1070,5000,0,7,1924,0
940000.0,4,2490,9525,0,9,1968,0
260000.0,4,1960,5238,0,7,2003,0
559900.0,3,2930,5569,0,9,2004,0
791500.0,4,1510,3500,0,7,1911,0
265000.0,3,1420,8250,0,7,1954,0
245000.0,3,1740,11547,0,7,1954,0
485000.0,4,2560,43995,0,7,1962,0
684000.0,4,3040,8414,0,9,2010,0
425000.0,3,2500,6840,0,8,1957,0
309600.0,4,1275,20000,0,6,1991,0
552250.0,4,2580,5823,0,8,2002,0
165000.0,4,1000,7134,0,6,1943,0
239900.0,4,1000,7134,0,6,1943,0
320000.0,2,1070,32633,0,6,1930,0
206600.0,3,1390,13464,0,7,1987,0
387000.0,4,2500,7690,0,7,1973,0
299000.0,1,560,12120,0,4,1967,0
855000.0,4,2270,10460,0,9,1965,0
315000.0,3,1900,14400,0,7,1954,0
437500.0,2,990,3120,0,7,1907,0
252000.0,4,1550,19800,0,7,1969,0
375000.0,4,2200,7475,0,7,1955,0
300000.0,4,1910,4862,0,7,2005,0
420000.0,4,1750,9600,0,7,1954,0
900000.0,3,1330,77972,0,7,1928,1954
679900.0,3,2440,5750,0,9,2000,0
463000.0,3,1640,29970,0,7,1992,0
380000.0,5,2760,11340,0,9,1978,0
329500.0,4,1820,7912,0,7,1994,0
604950.0,3,2110,5608,0,8,2013,0
795000.0,5,3040,9570,0,8,1966,0
465000.0,3,1840,40438,0,7,1994,0
673000.0,4,2990,10400,0,9,2002,0
810000.0,4,3520,15420,0,10,1991,0
785000.0,4,2440,69415,0,8,1989,0
338000.0,4,2090,7500,0,7,1986,0
280000.0,3,1430,7222,0,7,1993,0
315000.0,4,2180,10754,0,7,1954,0
530000.0,4,2180,10754,0,7,1954,0
380000.0,5,3450,9914,0,9,2004,0
297000.0,3,1450,7562,0,7,1994,0
730000.0,4,3230,7331,0,10,2004,0
450000.0,3,1640,13500,0,7,1940,0
275000.0,3,1590,7750,0,7,1997,0
595000.0,4,2020,2849,0,7,1960,0
435000.0,3,1300,3348,0,7,1904,2014
270000.0,2,1380,209959,0,6,1954,0
950000.0,3,4040,14338,0,10,1986,0
389000.0,4,2130,5337,0,7,2001,0
560000.0,4,2550,7800,0,8,1968,0
1350000.0,5,4800,14984,0,11,1998,0
799000.0,4,2510,11585,0,8,1969,0
365500.0,3,1410,9600,0,7,1983,0
252350.0,3,1650,7352,0,7,1979,0
403950.0,4,2120,13780,0,8,1993,0
385000.0,4,2040,10726,0,7,1954,0
345000.0,4,1550,7620,0,7,1957,0
490000.0,3,1980,3128,0,9,1979,0
330000.0,3,1600,26977,0,8,2005,0
927000.0,4,3300,12090,0,8,1953,0
1118000.0,4,3840,16619,0,10,1983,0
330000.0,2,1220,10000,0,7,1950,0
530000.0,5,2720,8800,0,7,1958,0
365000.0,4,1940,25600,0,8,1962,0
378750.0,3,2160,3000,0,7,1909,2011
269900.0,4,1530,8750,0,7,1968,0
557000.0,3,1710,2096,0,8,2008,0
360000.0,4,3730,16980,0,7,1974,0
352000.0,2,940,5000,0,7,1937,0
437000.0,3,1750,22357,0,8,1994,0
322500.0,4,1820,6753,0,7,1994,0
650000.0,3,1510,2000,0,9,2001,0
450000.0,3,1290,1213,0,8,2001,0
278500.0,3,1570,5250,0,7,1998,0
364950.0,4,1930,6957,0,8,1995,0
840000.0,4,2840,40139,0,10,1986,0
268000.0,3,1550,8134,0,7,1991,0
517534.0,2,833,143947,0,5,2006,0
632925.0,3,2990,32239,0,8,1978,0
577500.0,3,2000,7251,0,9,1995,0
339000.0,4,2390,7480,0,7,1920,0
570000.0,3,2910,37461,0,7,1967,0
563500.0,4,2085,174240,0,7,1964,0
423000.0,4,2200,9351,0,7,1962,0
355000.0,3,1860,5028,0,8,2012,0
1550000.0,5,6070,171626,0,12,1999,0
482000.0,2,950,3960,0,7,1941,0
625000.0,3,1600,9135,0,7,1955,0
538000.0,3,2250,11632,0,8,1988,0
380000.0,3,2280,10255,0,8,1985,0
375000.0,2,940,5120,0,7,1909,0
245000.0,3,1530,8500,0,7,1996,0
310000.0,5,2190,27260,0,7,1947,1974
1300000.0,3,2350,15021,0,8,1976,0
397000.0,4,1440,7680,0,7,1971,0
365000.0,3,2200,4052,0,8,2005,0
