Country,Region,Economy,Health
Switzerland,10,1.4,0.94
Iceland,10,1.3,0.95
Denmark,10,1.33,0.87
Norway,10,1.46,0.89
Canada,6,1.33,0.91
Finland,10,1.29,0.89
Netherlands,10,1.33,0.89
Sweden,10,1.33,0.91
New Zealand,1,1.25,0.91
Australia,1,1.33,0.93
Israel,5,1.23,0.91
Costa Rica,4,0.96,0.86
Austria,10,1.34,0.89
Mexico,4,1.02,0.81
United States,6,1.39,0.86
Brazil,4,0.98,0.7
Luxembourg,10,1.56,0.92
Ireland,10,1.34,0.9
Belgium,10,1.31,0.9
United Arab Emirates,5,1.43,0.81
United Kingdom,10,1.27,0.91
Oman,5,1.36,0.76
Venezuela,4,1.04,0.72
Singapore,7,1.52,1.03
Panama,4,1.06,0.8
Germany,10,1.33,0.89
Chile,4,1.11,0.86
Qatar,5,1.69,0.8
France,10,1.28,0.95
Argentina,4,1.05,0.79
Czech Republic,2,1.18,0.84
Uruguay,4,1.06,0.81
Colombia,4,0.92,0.69
Thailand,7,0.97,0.74
Saudi Arabia,5,1.4,0.72
Spain,10,1.23,0.96
Malta,10,1.21,0.89
Taiwan,3,1.29,0.88
Kuwait,5,1.55,0.72
Suriname,4,1.0,0.61
Trinidad and Tobago,4,1.21,0.61
El Salvador,4,0.76,0.68
Guatemala,4,0.75,0.64
Uzbekistan,2,0.63,0.6
Slovakia,2,1.17,0.79
Japan,3,1.27,0.99
South Korea,3,1.24,0.97
Ecuador,4,0.86,0.79
Bahrain,5,1.32,0.75
Italy,10,1.25,0.95
Bolivia,4,0.68,0.54
Moldova,2,0.59,0.62
Paraguay,4,0.76,0.66
Kazakhstan,2,1.12,0.64
Slovenia,2,1.18,0.87
Lithuania,2,1.15,0.73
Nicaragua,4,0.59,0.74
Peru,4,0.9,0.73
Belarus,2,1.03,0.74
Poland,2,1.13,0.78
Malaysia,7,1.12,0.72
Croatia,2,1.08,0.79
Libya,5,1.13,0.7
Russia,2,1.14,0.67
Jamaica,4,0.81,0.69
North Cyprus,10,1.21,0.92
Cyprus,10,1.21,0.92
Algeria,5,0.94,0.62
Kosovo,2,0.8,0.63
Turkmenistan,2,0.96,0.54
Mauritius,9,1.01,0.71
Hong Kong,3,1.39,1.01
Estonia,2,1.15,0.77
Indonesia,7,0.83,0.64
Vietnam,7,0.63,0.75
Turkey,5,1.06,0.73
Kyrgyzstan,2,0.47,0.65
Nigeria,9,0.65,0.16
Bhutan,8,0.77,0.57
Azerbaijan,2,1.02,0.64
Pakistan,8,0.6,0.51
Jordan,5,0.9,0.7
Montenegro,2,0.97,0.73
China,3,0.89,0.82
Zambia,9,0.47,0.3
Romania,2,1.04,0.77
Serbia,2,0.92,0.75
Portugal,10,1.16,0.88
Latvia,2,1.11,0.72
Philippines,7,0.71,0.58
Somaliland region,9,0.19,0.44
Morocco,5,0.73,0.61
Macedonia,2,0.92,0.74
Mozambique,9,0.08,0.09
Albania,2,0.88,0.81
Bosnia and Herzegovina,2,0.83,0.79
Lesotho,9,0.38,0.08
Dominican Republic,4,0.9,0.67
Laos,7,0.59,0.55
Mongolia,3,0.83,0.6
Swaziland,9,0.71,0.08
Greece,10,1.15,0.88
Lebanon,5,1.03,0.84
Hungary,2,1.12,0.76
Honduras,4,0.6,0.7
Tajikistan,2,0.39,0.57
Tunisia,5,0.88,0.74
Palestinian Territories,5,0.6,0.66
Bangladesh,8,0.4,0.6
Iran,5,1.01,0.7
Ukraine,2,0.8,0.67
Iraq,5,0.99,0.6
South Africa,9,0.92,0.28
Ghana,9,0.55,0.4
Zimbabwe,9,0.27,0.33
Liberia,9,0.07,0.34
India,8,0.64,0.52
Sudan,9,0.52,0.37
Haiti,4,0.27,0.39
Congo (Kinshasa),9,0.0,0.1
Nepal,8,0.36,0.57
Ethiopia,9,0.19,0.44
Sierra Leone,9,0.33,0.0
Mauritania,9,0.45,0.36
Kenya,9,0.36,0.41
Djibouti,9,0.44,0.36
Armenia,2,0.77,0.73
Botswana,9,0.99,0.05
Myanmar,7,0.27,0.48
Georgia,2,0.74,0.73
Malawi,9,0.02,0.23
Sri Lanka,8,0.84,0.71
Cameroon,9,0.42,0.23
Bulgaria,2,1.01,0.77
Egypt,5,0.88,0.62
Yemen,5,0.55,0.4
Angola,9,0.76,0.17
Mali,9,0.26,0.21
Congo (Brazzaville),9,0.68,0.31
Comoros,9,0.24,0.36
Uganda,9,0.21,0.34
Senegal,9,0.36,0.44
Gabon,9,1.06,0.43
Niger,9,0.07,0.3
Cambodia,7,0.46,0.61
Tanzania,9,0.29,0.38
Madagascar,9,0.21,0.47
Central African Republic,9,0.08,0.07
Chad,9,0.34,0.15
Guinea,9,0.17,0.24
Ivory Coast,9,0.47,0.15
Burkina Faso,9,0.26,0.27
Afghanistan,8,0.32,0.3
Rwanda,9,0.22,0.43
Benin,9,0.29,0.32
Syria,5,0.66,0.72
Burundi,9,0.02,0.22
Togo,9,0.21,0.28
