Full Name,Value(in Euro),Overall,Reactions,Dribbling Total,Passing Total,Positions Played,Best Position,Nationality,Club Name,Position check
Lionel Messi,17.80449460452855,91,92,94,90,RW,CAM,Argentina,Paris Saint-Germain,0
Karim Benzema,17.974393641323946,91,92,87,83,"CF,ST",CF,France,Real Madrid CF,0
Robert Lewandowski,18.246327356807587,91,93,86,79,ST,ST,Poland,FC Barcelona,1
Kevin De Bruyne,18.49300140553199,91,91,87,93,"CM,CAM",CM,Belgium,Manchester City,0
Kylian Mbappé,19.06516275253103,91,93,92,80,"ST,LW",ST,France,Paris Saint-Germain,0
Mohamed Salah,18.56478108792612,90,93,90,82,RW,RW,Egypt,Liverpool,1
Thibaut Courtois,18.31532022829454,90,84,90,75,GK,GK,Belgium,Real Madrid CF,1
Manuel Neuer,16.41820024340866,90,87,88,91,GK,GK,Germany,FC Bayern München,1
C. Ronaldo dos Santos Aveiro,17.529082624668582,90,94,85,78,ST,ST,Portugal,Manchester United,1
Virgil van Dijk,18.400478036634848,90,89,72,71,CB,CB,Netherlands,Liverpool,1
Harry Kane,18.474221510880394,89,92,82,83,ST,ST,England,Tottenham Hotspur,1
Neymar da Silva Santos Jr.,18.41566820212882,89,88,93,85,LW,LW,Brazil,Paris Saint-Germain,1
Heung Min Son,18.430631074805532,89,91,86,82,"LW,LM",LW,Korea Republic,Tottenham Hotspur,0
Carlos Henrique Venancio Casimiro,18.269857854217783,89,87,72,75,CDM,CDM,Brazil,Manchester United,1
Jan Oblak,18.26402693390699,89,87,89,78,GK,GK,Slovenia,Atlético de Madrid,1
Sadio Mané,18.41566820212882,89,91,88,80,"LM,CF",LM,Senegal,FC Bayern München,0
Ederson Santana de Moraes,18.29284737244248,89,88,88,93,GK,GK,Brazil,Manchester City,1
Joshua Kimmich,18.474221510880394,89,88,84,87,"CDM,RB",CDM,Germany,FC Bayern München,0
Alisson Ramses Becker,18.184958410431296,89,87,89,85,GK,GK,Brazil,Liverpool,1
N'Golo Kanté,18.09217667698033,89,93,81,74,"CDM,CM",CDM,France,Chelsea,0
Rúben Santos Gato Alves Dias,18.49300140553199,88,89,68,66,CB,CB,Portugal,Manchester City,1
Erling Haaland,18.81272283172839,88,88,80,65,ST,ST,Norway,Manchester City,1
Gianluigi Donnarumma,18.455082170669698,88,85,89,79,GK,GK,Italy,Paris Saint-Germain,1
Bernardo Mota Carvalho e Silva,18.395362935968077,88,87,92,84,"CAM,CM",CAM,Portugal,Manchester City,0
João Pedro Cavaco Cancelo,18.22830885130491,88,85,85,85,"LB,RB",LB,Portugal,Manchester City,0
Marcos Aoás Corrêa,18.337299135013314,88,88,74,75,CB,CB,Brazil,Paris Saint-Germain,1
Keylor Navas,16.11809565095832,88,85,89,75,GK,GK,Costa Rica,Paris Saint-Germain,1
Marc-André ter Stegen,18.042344303232454,88,85,90,87,GK,GK,Germany,FC Barcelona,1
Toni Kroos,18.09217667698033,88,90,81,90,CM,CM,Germany,Real Madrid CF,1
Luka Modrić,17.182806387950748,88,88,88,89,CM,CM,Croatia,Real Madrid CF,1
Antonio Rüdiger,18.112795964183064,87,85,67,71,CB,CB,Germany,Real Madrid CF,1
Rodrigo Hernández Cascante,18.298513109978156,87,82,79,78,CDM,CDM,Spain,Manchester City,1
Fábio Henrique Tavares,18.159315979817958,87,86,77,78,"CDM,CB",CDM,Brazil,Liverpool,0
Hugo Lloris,16.012735135300492,87,84,88,74,GK,GK,France,Tottenham Hotspur,1
Thomas Müller,17.958645284355807,87,94,80,83,"CAM,CF",CAM,Germany,FC Bayern München,0
David De Gea Quintana,17.553180176247643,87,89,89,76,GK,GK,Spain,Manchester United,1
Marco Verratti,18.165788494323575,87,87,91,87,"CM,CAM",CM,Italy,Paris Saint-Germain,0
Mike Maignan,18.197537192638155,87,85,89,85,GK,GK,France,AC Milan,1
Trent Alexander-Arnold,18.425668285463406,87,83,80,89,RB,CM,England,Liverpool,0
Andrew Robertson,18.09217667698033,87,85,81,81,LB,LB,Scotland,Liverpool,1
Kalidou Koulibaly,17.81371125963347,87,83,68,59,CB,CB,Senegal,Chelsea,1
Leon Goretzka,18.326370064481125,87,87,83,82,"CM,CDM",CM,Germany,FC Bayern München,0
Frenkie de Jong,18.57340183097003,87,88,87,86,CM,CM,Netherlands,FC Barcelona,1
Thiago Alcântara,17.831893578716663,86,84,90,87,CM,CM,Spain,Liverpool,1
Ciro Immobile,17.822843743196746,86,87,80,68,ST,ST,Italy,Lazio,1
Romelu Lukaku,18.03501826314038,86,86,77,75,ST,ST,Belgium,Inter,1
David Alaba,17.831893578716663,86,88,80,83,CB,CB,Austria,Real Madrid CF,1
Raheem Sterling,18.099097119824904,86,91,86,78,"LW,RW",LW,England,Chelsea,0
Riyad Mahrez,17.84975119611667,86,83,90,81,"RW,RM",RW,Algeria,Manchester City,0
Paulo Dybala,18.05683731053502,86,79,90,85,"CF,CAM",CAM,Argentina,Roma,0
Thiago Emiliano da Silva,16.300417207752275,86,83,72,73,CB,CB,Brazil,Chelsea,1
Wojciech Szczęsny,17.327055996795295,86,82,87,73,GK,GK,Poland,Juventus,1
Kevin Trapp,17.399029496420383,86,83,87,79,GK,GK,Germany,Eintracht Frankfurt,1
Bruno Miguel Borges Fernandes,18.099097119824904,86,91,81,88,"CAM,CM",CAM,Portugal,Manchester United,0
Daniel Parejo Muñoz,17.553180176247643,86,79,80,90,CM,CM,Spain,Villarreal CF,1
