,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,title_ser,num_in_ser
0,Harry Potter and the Half-Blood Prince,J.K. Rowling/Mary GrandPré,4.57,eng,652.0,2095690,27591,9/16/2006,Scholastic Inc.,Harry Potter,6
1,Harry Potter and the Order of the Phoenix,J.K. Rowling/Mary GrandPré,4.49,eng,870.0,2153167,29221,9/1/2004,Scholastic Inc.,Harry Potter,5
2,Harry Potter and the Chamber of Secrets,J.K. Rowling,4.42,eng,352.0,6333,244,11/1/2003,Scholastic,Harry Potter,2
3,Harry Potter and the Prisoner of Azkaban,J.K. Rowling/Mary GrandPré,4.56,eng,435.0,2339585,36325,5/1/2004,Scholastic Inc.,Harry Potter,3
4,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculatio",W. Frederick Zimmerman,3.74,other,152.0,19,1,4/26/2005,Nimble Books,-,0
5,The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,eng,215.0,4930,460,8/3/2004,Crown,Hitchhiker's Guide to the Galaxy,1
6,A Short History of Nearly Everythin,Bill Bryson,4.21,eng,544.0,248558,9396,9/14/2004,Broadway Books,-,0
7,Bill Bryson's African Diar,Bill Bryson,3.44,eng,55.0,7270,499,12/3/2002,Broadway Books,-,0
8,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Righ,Bill Bryson,3.87,eng,256.0,2088,131,9/14/2004,Broadway Books,-,0
9,In a Sunburned Countr,Bill Bryson,4.07,eng,335.0,72451,4245,5/15/2001,Broadway Books,-,0
10,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Awa,Bill Bryson,,eng,304.0,49240,2211,6/28/2000,Broadway Books,-,0
11,The Lost Continent: Travels in Small Town Americ,Bill Bryson,3.83,eng,299.0,45712,2257,8/28/1990,William Morrow Paperbacks,-,0
12,Neither Here nor There: Travels in Europ,Bill Bryson,3.86,eng,254.0,48701,2238,3/28/1993,William Morrow Paperbacks,-,0
13,Notes from a Small Islan,Bill Bryson,3.91,eng,324.0,80609,3301,5/28/1997,William Morrow Paperbacks,-,0
14,The Mother Tongue: English and How It Got That Wa,Bill Bryson,3.93,eng,270.0,28489,2085,9/28/1991,,-,0
15,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Ring,J.R.R. Tolkien,4.59,eng,,101233,1550,9/25/2012,Ballantine Books,-,0
16,The Fellowship of the Ring,J.R.R. Tolkien,4.36,eng,398.0,2128944,13670,9/5/2003,Houghton Mifflin Harcourt,The Lord of the Rings,1
17,The Lord of the Rings: Weapons and Warfar,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,eng,218.0,19822,46,11/5/2003,Houghton Mifflin Harcourt,-,0
18,The Lord of the Rings: Complete Visual Companio,Jude Fisher,4.5,eng,224.0,359,6,11/15/2004,Houghton Mifflin Harcourt,-,0
19,Agile Web Development with Rails: A Pragmatic Guid,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,eng,558.0,1430,59,7/28/2005,Pragmatic Bookshelf,-,0
