title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,title_ser,num_in_ser,month,day,year,century,num_coauthors,pages_category
Harry Potter and the Half-Blood Prince,J.K. Rowling/Mary GrandPré,4.57,eng,652.0,2095690,27591,9/16/2006,Scholastic Inc.,Harry Potter,6,9,16,2006,21,2,от 500 до 1000 стр.
Harry Potter and the Order of the Phoenix,J.K. Rowling/Mary GrandPré,4.49,eng,870.0,2153167,29221,9/1/2004,Scholastic Inc.,Harry Potter,5,9,1,2004,21,2,от 500 до 1000 стр.
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.42,eng,352.0,6333,244,11/1/2003,Scholastic,Harry Potter,2,11,1,2003,21,1,от 100 до 500 стр.
Harry Potter and the Prisoner of Azkaban,J.K. Rowling/Mary GrandPré,4.56,eng,435.0,2339585,36325,5/1/2004,Scholastic Inc.,Harry Potter,3,5,1,2004,21,2,от 100 до 500 стр.
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculatio",W. Frederick Zimmerman,3.74,other,152.0,19,1,4/26/2005,Nimble Books,-,0,4,26,2005,21,1,от 100 до 500 стр.
The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,eng,215.0,4930,460,8/3/2004,Crown,Hitchhiker's Guide to the Galaxy,1,8,3,2004,21,1,от 100 до 500 стр.
A Short History of Nearly Everythin,Bill Bryson,4.21,eng,544.0,248558,9396,9/14/2004,Broadway Books,-,0,9,14,2004,21,1,от 500 до 1000 стр.
Bill Bryson's African Diar,Bill Bryson,3.44,eng,55.0,7270,499,12/3/2002,Broadway Books,-,0,12,3,2002,21,1,до 100 стр.
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Righ,Bill Bryson,3.87,eng,256.0,2088,131,9/14/2004,Broadway Books,-,0,9,14,2004,21,1,от 100 до 500 стр.
In a Sunburned Countr,Bill Bryson,4.07,eng,335.0,72451,4245,5/15/2001,Broadway Books,-,0,5,15,2001,21,1,от 100 до 500 стр.
