Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
Art & Sculpture,34,14935,-594,-1609,12732
Basket,13,3744,-316.8,0,3427.2
Basket,12,3825,-201.6,-288,3335.4
Basket,17,3035,-63.25,0,2971.75
Art & Sculpture,47,2696.8,-44.16,0,2652.64
Basket,17,2695,-52.5,-110,2532.5
Basket,20,2310,-66,-110,2134
Christmas,90,2160,-45.59,0,2114.41
Art & Sculpture,10,2250,-180,0,2070
Basket,11,1925,-17.5,0,1907.5
Basket,30,1907,-41.3,0,1865.7
Home Decor,19,1748,-46.85,0,1701.15
Basket,15,1725,-92,0,1633
Art & Sculpture,2,1625,-5,0,1620
Recycled Art,37,1554,-29.4,0,1524.6
Jewelry,33,1584,-67.17,0,1516.83
Basket,20,1560,-47.8,0,1512.2
Jewelry,32,1536,-76.8,0,1459.2
Home Decor,17,1496,-44,0,1452
Basket,5,1467,-57.6,0,1409.4
Art & Sculpture,9,1466,-75.89,0,1390.11
Art & Sculpture,11,1375,-12.5,0,1362.5
Art & Sculpture,58,1392,-36,0,1356
Christmas,58,1392,-45.6,0,1346.4
Jewelry,96,1400,-42,-56,1302
Art & Sculpture,3,1660,0,-365,1295
Basket,15,1260,0,0,1260
Basket,9,1315,-57.5,0,1257.5
Art & Sculpture,30,1260,-46.2,0,1213.8
Skin Care,32,1216,-26.6,0,1189.4
Home Decor,18,1224,-40.8,0,1183.2
Basket,7,1225,-70,0,1155
Art & Sculpture,7,1155,-47.51,0,1107.49
Home Decor,5,1125,-22.5,0,1102.5
Basket,4,1152,-57.6,0,1094.4
Basket,14,1158,-67.16,0,1090.84
Basket,10,1100,-11,0,1089
Kitchen,69,1104,-25.6,0,1078.4
Basket,10,1100,-26.13,0,1073.87
Art & Sculpture,15,1110,-46.79,0,1063.21
Art & Sculpture,18,1352,-31.99,-258,1062.01
Basket,11,1056,-7.57,0,1048.43
Home Decor,12,1120,-72,0,1048
Basket,6,1050,-17.5,0,1032.5
Basket,4,1030,0,0,1030
Basket,13,1194,-8.8,-156,1029.2
Art & Sculpture,15,1110,-81.38,0,1028.62
Art & Sculpture,59,1062,-33.6,0,1028.4
Basket,6,1225,-35,-175,1015
Basket,6,990,0,0,990
Basket,6,1050,-78.75,0,971.25
Basket,9,1100,-43.99,-99.01,957
Home Decor,11,968,-17.6,0,950.4
Basket,9,990,-43.99,0,946.01
Basket,7,952,-13.6,0,938.4
Art & Sculpture,25,950,-17.6,0,932.4
