Car Name,Year,Region,FuelType,Mileage,Price,Owners
Ford Transit,2002,Goris,Diesel,215000,12000,4
Ford Focus,2017,Ijevan,Gasoline,72000,11500,5
Opel Vectra,1998,Armavir,Gasoline,466000,4000,5
Mazda 6,2020,Nor Nork,Gasoline,100000,22000,3
Opel Vectra,1998,Armavir,Gasoline,318000,3500,6
Mazda 6,2018,Nor Nork,Gasoline,127000,17800,1
VAZ (Lada) 2110,2006,Avan,Gasoline,290000,2300,5
Mercedes-Benz E-Class,2001,Vedi,Gasoline,219779,7200,2
BMW X6,2008,Malatia-Sebastia,Gasoline,212000,18000,4
BMW 5 Series,2006,Chambarak,Gasoline,222700,8400,1
Mercedes-Benz B-Class hatchback,2006,Nor Nork,Gasoline,73000,7700,4
Opel Zafira,2002,Malatia-Sebastia,Gasoline,197900,6300,2
VAZ (Lada) 2121 (4x4),2005,Gavar,Gasoline,140000,4000,1
Mercedes-Benz E-Class,1996,Gyumri,Gasoline,468000,3000,6
Hyundai Sonata,2018,Kentron,Gasoline,63000,16500,3
BMW Z3,2001,Kentron,Gasoline,22000,12369,5
Volkswagen Passat,2017,Ajapnyak,Gasoline,91000,14000,2
Fiat 124 Spider,2018,Shengavit,Gasoline,43000,14700,6
Opel Vectra,2000,Ashtarak,Gasoline,267000,4800,6
GAZ (ГАЗ) Sobol,2002,Artashat,Gasoline,150000,2800,6
Nissan Teana,2008,Shengavit,Gasoline,250000,7700,3
Opel Astra,1999,Artashat,Gasoline,150000,3800,2
Mazda CX-5,2018,Ajapnyak,Gasoline,86000,20500,2
Mercedes-Benz GLK-Class,2008,Kentron,Gasoline,109000,15300,5
Mazda CX-5,2020,Erebuni,Gasoline,48000,26200,1
Ford Fusion (North America),2017,Davtashen,Gasoline,48000,14900,6
MINI Cooper hatchback,2003,Shengavit,Gasoline,95000,5500,3
Mercedes-Benz S-Class,2008,Kentron,Gasoline,165000,6000,5
Honda Accord,2006,Charentsavan,Gasoline,220000,7600,5
VAZ (Lada) 2101,1986,Mayakovski,Gasoline,110000,3000,1
Mercedes-Benz C-Class,2001,On the way,Gasoline,147000,7000,2
Chevrolet Malibu,2018,Vanadzor,Gasoline,160000,13400,3
Nissan Rogue Sport,2017,Avan,Gasoline,83000,16900,3
Toyota Camry,2020,Avan,Gasoline,98000,22500,3
Kia Sorento,2006,Nork-Marash,Gasoline,180000,7800,2
BMW 5 Series,1990,Gyumri,Gasoline,390000,3900,6
Hyundai Sonata,2001,Echmiadzin,Gasoline,165000,4350,6
Toyota Platz,2001,Echmiadzin,Gasoline,140000,3900,3
Mercedes-Benz Sprinter,2005,Kanaker-Zeytun,Diesel,308000,12000,5
UAZ (УАЗ) 452,1986,Avan,Gasoline,100000,8200,4
Toyota RAV4,2004,Malatia-Sebastia,Gasoline,165000,10400,6
Peugeot Bipper,2011,Avan,Gasoline,210000,6200,5
Infiniti QX80,2021,Shengavit,Gasoline,94000,45000,6
Ford Transit,2004,Shengavit,Diesel,137000,13800,4
Nissan X-Trail,2008,Avan,Gasoline,250000,8500,3
Toyota Camry,2019,Gyumri,Gasoline,35000,22500,1
Ford Fusion (North America),2016,Arabkir,Gasoline,127000,12300,3
Ford Transit,2002,Akhuryan,Diesel,252000,9200,1
Opel Astra,1998,Avan,Gasoline,292000,4100,5
Mercedes-Benz G-Class AMG,2015,Kentron,Gasoline,74000,115000,5
Toyota Land Cruiser,2020,Kentron,Gasoline,30000,130000,4
Nissan Sentra,2019,On the way,Gasoline,85901,10500,1
Ford EcoSport,2017,Kentron,Gasoline,38000,16000,2
MINI Countryman,2018,Nor Nork,Gasoline,150000,18500,3
Nissan Primera,2001,Ashtarak,Gasoline,100000,3700,6
Jeep Cherokee,2018,Ashtarak,Gasoline,50000,15000,6
BMW X5,2004,Sevan,Gasoline,450000,10800,1
Toyota Camry,2007,Arabkir,Gasoline,153000,8200,3
Jeep Cherokee,2017,Avan,Gasoline,92000,17300,1
Mercedes-Benz E-Class,2000,Hrazdan,Gasoline,233000,5800,4
Hyundai Tucson,2010,Vedi,Gasoline,101136,13200,2
Infiniti QX50,2021,Echmiadzin,Gasoline,10000,36700,5
VAZ (Lada) 2110,2010,Echmiadzin,Gasoline,12443,6800,4
BMW M5,1996,Yeghegnadzor,Gasoline,300000,5700,6
Opel Zafira,2002,Chambarak,Gasoline,250000,6000,4
BMW X5,2005,Gyumri,Gasoline,183000,9700,5
Peugeot 206 hatchback,2006,Kanaker-Zeytun,Gasoline,110000,4200,2
BMW 3 Series hatchback,2007,Erebuni,Gasoline,270000,7000,2
