season,atemp,humidity,windspeed
1,14.395,81,0.0
1,13.635,80,0.0
1,13.635,80,0.0
1,14.395,75,0.0
1,14.395,75,0.0
1,12.88,75,6.0032
1,13.635,80,0.0
1,12.88,86,0.0
1,14.395,75,0.0
1,17.425,76,0.0
1,19.695,76,16.9979
1,16.665,81,19.0012
1,21.21,77,19.0012
1,22.725,72,19.9995
1,22.725,72,19.0012
1,21.97,77,19.9995
1,21.21,82,19.9995
1,21.97,82,19.0012
1,21.21,88,16.9979
1,21.21,88,16.9979
1,20.455,87,16.9979
1,20.455,87,12.998
1,20.455,94,15.0013
1,22.725,88,19.9995
1,22.725,88,19.9995
1,21.97,94,16.9979
1,21.21,100,19.0012
1,22.725,94,12.998
1,22.725,94,12.998
1,21.21,77,19.9995
1,20.455,76,12.998
1,20.455,71,15.0013
1,19.695,76,15.0013
1,17.425,81,15.0013
1,16.665,71,16.9979
1,16.665,66,19.9995
1,17.425,66,8.9981
1,17.425,76,12.998
1,16.665,81,11.0014
1,16.665,71,11.0014
1,16.665,57,12.998
1,16.665,46,22.0028
1,14.395,42,30.0026
1,13.635,39,23.9994
1,11.365,44,22.0028
1,10.605,44,19.9995
1,11.365,47,11.0014
1,9.85,44,23.9994
1,8.335,44,27.9993
1,6.82,47,26.0027
1,6.82,47,19.0012
1,5.305,50,26.0027
1,6.82,50,12.998
1,6.06,50,19.0012
1,6.82,43,26.0027
1,8.335,43,16.9979
1,9.09,40,22.0028
1,10.605,35,19.9995
1,10.605,35,19.0012
1,12.12,30,19.0012
1,12.12,30,16.9979
1,12.12,30,16.9979
1,11.365,30,15.0013
1,12.88,32,7.0015
1,12.88,47,0.0
1,11.365,47,7.0015
1,9.85,64,8.9981
1,7.575,69,8.9981
1,10.605,55,7.0015
1,9.09,55,7.0015
1,9.09,59,7.0015
1,7.575,63,8.9981
1,9.09,63,6.0032
1,7.575,68,7.0015
1,7.575,74,7.0015
1,7.575,74,8.9981
1,7.575,69,11.0014
1,7.575,64,15.0013
1,6.82,69,22.0028
1,10.605,51,19.9995
1,11.365,51,11.0014
1,11.365,56,12.998
1,12.88,52,15.0013
1,13.635,52,16.9979
1,14.395,49,16.9979
1,13.635,48,15.0013
1,12.88,48,12.998
1,12.88,48,7.0015
1,12.88,48,7.0015
1,13.635,64,0.0
1,12.88,64,6.0032
1,11.365,69,6.0032
1,12.88,64,0.0
1,9.85,74,6.0032
1,9.85,74,6.0032
1,11.365,48,15.0013
1,11.365,47,11.0014
1,9.85,47,15.0013
1,9.09,43,12.998
1,9.09,40,19.9995
1,9.85,37,22.0028
1,9.85,37,22.0028
1,11.365,33,22.0028
1,11.365,33,22.0028
1,12.88,30,19.9995
1,14.395,28,12.998
1,14.395,28,12.998
1,15.91,28,6.0032
1,11.365,38,12.998
1,12.12,38,8.9981
1,12.88,38,7.0015
1,11.365,47,11.0014
1,9.85,51,12.998
1,9.85,55,8.9981
1,12.88,47,0.0
1,12.12,55,0.0
1,11.365,64,0.0
1,11.365,64,0.0
1,9.85,64,6.0032
1,9.09,69,6.0032
1,8.335,63,7.0015
1,11.365,59,0.0
1,11.365,59,0.0
1,12.12,51,0.0
1,12.88,47,0.0
1,12.88,44,6.0032
1,14.395,35,0.0
1,13.635,35,7.0015
1,13.635,36,11.0014
1,13.635,36,0.0
1,12.88,38,11.0014
1,11.365,51,11.0014
1,11.365,51,8.9981
1,12.88,55,6.0032
1,10.605,51,11.0014
1,10.605,55,15.0013
1,10.605,51,19.0012
1,9.85,59,12.998
1,9.85,64,12.998
1,9.85,69,15.0013
1,9.85,69,15.0013
1,10.605,69,8.9981
1,13.635,55,0.0
1,12.88,69,0.0
1,10.605,69,8.9981
1,9.85,51,16.9979
1,9.09,47,19.9995
1,9.85,37,22.0028
1,9.85,40,15.0013
1,9.85,37,16.9979
1,9.09,37,19.0012
1,9.85,40,16.9979
1,10.605,37,11.0014
1,10.605,37,11.0014
1,12.88,37,0.0
1,11.365,40,6.0032
1,9.85,55,6.0032
1,10.605,47,7.0015
1,9.85,47,8.9981
1,9.85,43,11.0014
1,9.85,51,11.0014
