cat,total_fat,protein,calcium
3,20,17,25
3,12,18,25
3,35,14,25
3,43,21,30
3,35,21,25
3,36,26,30
3,40,19,15
3,47,19,20
3,32,20,15
3,38,20,15
3,42,11,6
3,48,11,8
3,50,18,10
3,57,18,10
3,42,18,8
3,49,18,8
3,31,17,6
3,37,17,8
3,49,25,20
3,32,19,20
3,24,20,15
3,34,11,8
3,48,20,20
3,40,21,20
3,48,30,20
3,39,30,20
3,53,33,25
3,73,28,15
3,80,28,15
3,57,26,10
3,63,26,10
3,87,36,25
3,93,36,30
3,70,35,25
3,77,35,25
3,13,8,15
3,37,15,15
3,25,12,15
3,14,1,0
3,30,6,6
3,6,5,10
3,6,5,6
1,42,24,25
1,41,30,30
1,45,37,25
1,48,37,25
1,42,29,25
1,66,48,30
1,12,12,10
1,18,15,20
1,32,24,30
1,62,39,30
1,26,22,20
1,34,27,20
1,35,22,20
1,36,22,20
1,40,22,15
4,33,24,15
4,13,28,15
4,51,36,30
4,31,40,30
4,43,32,15
4,23,36,15
4,59,36,30
4,39,40,30
4,29,21,15
4,25,14,10
4,38,22,20
4,32,20,15
4,25,14,15
4,49,32,20
4,28,36,20
4,47,27,20
4,27,30,15
4,51,27,20
4,31,31,20
4,35,23,8
4,15,27,8
4,18,9,0
4,27,13,2
4,45,22,2
4,91,44,4
4,182,87,8
4,29,15,15
7,11,9,15
7,33,25,15
7,13,29,15
7,7,6,15
7,33,23,15
7,13,27,15
9,23,14,10
9,13,16,10
9,23,14,10
9,13,16,10
9,30,15,10
9,20,16,10
9,17,2,0
9,24,4,2
9,37,6,2
9,8,1,0
9,0,1,2
9,0,0,2
9,3,4,10
6,19,2,2
6,12,2,2
6,9,2,2
6,2,1,4
6,14,8,25
6,12,7,25
6,10,6,20
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,2,0
2,0,3,0
2,0,4,0
2,0,1,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,4,8,30
2,0,9,30
2,0,0,10
2,0,2,2
2,0,3,4
2,0,4,4
2,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
5,0,1,0
5,0,1,0
5,0,1,0
5,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
5,13,9,30
5,16,11,35
5,21,15,50
5,13,9,30
5,16,11,35
5,21,15,50
5,13,9,30
5,16,11,35
5,21,15,50
5,13,9,30
5,16,11,35
5,21,15,50
5,13,9,30
5,16,12,35
5,21,15,50
5,0,10,30
5,0,12,40
5,1,16,50
5,0,10,30
5,0,12,40
5,1,16,50
5,0,10,30
5,0,12,40
5,1,16,50
5,0,10,30
5,0,12,40
5,1,16,50
5,0,10,30
5,0,12,40
5,1,16,50
5,18,10,30
5,21,13,40
5,26,16,50
5,5,11,35
5,6,13,40
5,6,17,50
5,17,10,30
5,21,12,40
5,26,16,50
5,5,10,35
5,5,13,40
5,6,17,50
5,21,11,40
5,25,14,45
5,31,17,60
5,5,12,40
5,5,14,50
5,6,19,60
5,7,1,4
5,11,1,4
5,14,2,8
5,7,1,4
5,11,1,4
5,14,2,6
5,7,1,4
5,11,1,4
5,14,2,8
5,7,1,4
5,11,1,4
5,14,2,8
5,7,1,4
5,11,1,4
5,14,2,8
5,17,8,25
5,19,9,30
5,25,14,40
5,8,8,25
5,8,10,30
5,9,14,45
5,17,8,25
5,19,9,30
5,25,13,40
5,8,8,25
5,8,10,30
5,8,14,45
5,28,7,20
5,34,9,25
5,41,11,35
5,29,7,25
5,35,9,30
5,42,11,35
5,35,8,25
5,41,9,30
5,48,12,35
8,1,2,6
8,1,3,8
8,2,4,10
8,1,3,8
8,1,4,8
8,2,5,10
8,1,2,8
8,1,3,8
8,2,4,10
8,24,11,40
8,29,14,50
8,35,18,60
8,25,12,40
8,30,15,50
8,36,18,70
8,25,12,40
8,30,15,50
8,36,19,60
8,29,14,50
8,35,18,60
8,35,13,45
8,50,20,70
8,24,9,30
8,26,12,40
8,35,15,50
8,17,8,25
8,50,21,60
8,25,10,30
