song_name,album_name,track_number,popularity,danceability,energy,loudness,mode,instrumentalness,valence,tempo
Tom Sawyer,Moving Pictures (40th Anniversary Super Deluxe),1,31,0.526,0.881,-7.447,0,0.00577,0.655,87.392
Red Barchetta,Moving Pictures (40th Anniversary Super Deluxe),2,28,0.53,0.933,-7.377,1,8.14e-05,0.348,144.143
YYZ,Moving Pictures (40th Anniversary Super Deluxe),3,28,0.504,0.909,-8.101,1,0.842,0.402,140.854
Limelight,Moving Pictures (40th Anniversary Super Deluxe),4,29,0.573,0.878,-7.99,0,0.000281,0.842,131.005
The Camera Eye,Moving Pictures (40th Anniversary Super Deluxe),5,26,0.356,0.793,-8.495,1,0.398,0.149,165.004
Witch Hunt,Moving Pictures (40th Anniversary Super Deluxe),6,24,0.519,0.572,-9.894,0,0.00939,0.329,121.532
Vital Signs,Moving Pictures (40th Anniversary Super Deluxe),7,24,0.595,0.817,-8.315,0,5.82e-06,0.634,143.072
2112 - Overture - Live In YYZ 1981,Moving Pictures (40th Anniversary Super Deluxe),1,26,0.243,0.954,-9.147,1,0.789,0.197,135.613
2112 - The Temples of Syrinx - Live In YYZ 1981,Moving Pictures (40th Anniversary Super Deluxe),2,23,0.282,0.964,-8.347,0,0.289,0.294,133.714
Freewill - Live In YYZ 1981,Moving Pictures (40th Anniversary Super Deluxe),3,24,0.209,0.973,-7.917,1,0.00924,0.321,158.873
Limelight - Live In YYZ 1981,Moving Pictures (40th Anniversary Super Deluxe),4,26,0.341,0.953,-8.356,1,0.000604,0.385,132.382
Cygnus X-1 Book II: Hemispheres - Prelude - Live In YYZ 1981,Moving Pictures (40th Anniversary Super Deluxe),5,23,0.272,0.913,-8.987,1,0.226,0.31,136.764
"Beneath, Between & Behind - Live In YYZ 1981",Moving Pictures (40th Anniversary Super Deluxe),6,22,0.198,0.98,-8.754,1,0.00581,0.434,148.285
The Camera Eye - Live In YYZ 1981,Moving Pictures (40th Anniversary Super Deluxe),7,23,0.216,0.82,-8.918,1,0.0852,0.183,168.223
YYZ - Live In YYZ 1981,Moving Pictures (40th Anniversary Super Deluxe),8,22,0.344,0.968,-8.978,1,0.835,0.152,145.085
Broon's Bane - Live In YYZ 1981,Moving Pictures (40th Anniversary Super Deluxe),9,22,0.22,0.403,-18.509,1,0.925,0.329,148.219
The Trees - Live In YYZ 1981,Moving Pictures (40th Anniversary Super Deluxe),10,21,0.281,0.886,-8.402,0,0.056,0.216,142.8
Xanadu - Live In YYZ 1981,Moving Pictures (40th Anniversary Super Deluxe),11,22,0.252,0.734,-8.451,1,0.00617,0.144,137.877
