Age,Sex,Credit amount,Duration
67,0,1169,6
22,1,5951,48
49,0,2096,12
45,0,7882,42
53,0,4870,24
35,0,9055,36
53,0,2835,24
35,0,6948,36
61,0,3059,12
28,0,5234,30
25,1,1295,12
24,1,4308,48
22,1,1567,12
60,0,1199,24
28,1,1403,15
32,1,1282,24
53,0,2424,24
25,0,8072,30
44,1,12579,24
31,0,3430,24
48,0,2134,9
44,0,2647,6
48,0,2241,10
44,0,1804,12
26,0,2069,10
36,0,1374,6
39,0,426,6
42,1,409,12
34,0,2415,7
63,0,6836,60
36,0,1913,18
27,0,4020,24
30,0,5866,18
57,0,1264,12
33,1,1474,12
25,0,4746,45
31,0,6110,48
37,0,2100,18
37,0,1225,10
24,0,458,9
30,0,2333,30
26,0,1158,12
44,0,6204,18
24,0,6187,30
58,1,6143,48
35,1,1393,11
39,0,2299,36
23,1,1352,6
39,0,7228,11
28,1,2073,12
29,0,2333,24
30,0,5965,27
25,0,1262,12
31,0,3378,18
57,0,2225,36
26,0,783,6
52,0,6468,12
31,1,9566,36
23,1,1961,18
23,1,6229,36
27,0,1391,9
50,0,1537,15
61,0,1953,36
25,0,14421,48
26,1,3181,24
48,0,5190,27
29,1,2171,12
22,0,1007,12
37,0,1819,36
25,1,2394,36
30,1,8133,36
46,0,730,7
51,0,1164,8
41,1,5954,42
40,0,1977,36
66,0,1526,12
34,0,3965,42
51,0,4771,11
39,0,9436,54
22,0,3832,30
44,1,5943,24
47,0,1213,15
24,1,1568,18
58,1,1755,24
52,0,2315,10
29,1,1412,12
27,1,1295,18
47,0,12612,36
30,0,2249,18
28,0,1108,12
56,0,618,12
54,0,1409,12
33,1,797,12
20,0,3617,24
54,0,1318,12
58,0,15945,54
61,1,2012,12
34,0,2622,18
36,0,2337,36
36,0,7057,20
41,0,1469,24
24,0,2323,36
24,1,932,6
35,0,1919,9
26,0,2445,12
39,0,11938,24
39,0,6458,18
32,0,6078,12
30,1,7721,24
35,0,1410,14
31,0,1449,6
23,1,392,15
28,0,6260,18
25,1,7855,36
35,0,1680,12
47,0,3578,48
30,1,7174,42
27,1,2132,10
23,1,4281,33
36,0,2366,12
25,1,1835,21
41,1,3868,24
24,0,1768,12
63,0,781,10
27,1,1924,18
30,0,2121,12
40,0,701,12
30,0,639,12
34,0,1860,12
29,1,3499,12
24,1,8487,48
29,0,6887,36
27,0,2708,15
47,0,1984,18
21,1,10144,60
38,1,1240,12
27,0,8613,27
66,0,766,12
35,0,2728,15
44,1,1881,12
27,0,709,6
30,1,4795,36
27,0,3416,27
22,0,2462,18
23,1,2288,21
30,0,3566,48
39,1,860,6
51,1,682,12
28,0,5371,36
46,0,1582,18
42,0,1346,6
38,0,1924,10
24,0,5848,36
29,1,7758,24
36,0,6967,24
20,1,1282,12
48,0,1288,9
45,0,339,12
38,0,3512,24
34,0,1898,6
36,0,2872,24
30,1,1055,18
36,0,1262,15
70,0,7308,10
36,0,909,36
32,0,2978,6
33,1,1131,18
20,1,1577,11
25,1,3972,24
31,0,1935,24
33,0,950,15
26,1,763,12
34,1,2064,24
33,0,1414,8
26,0,3414,21
53,1,7485,30
42,0,2577,12
52,0,338,6
31,0,1963,12
65,0,571,21
28,0,9572,36
30,0,4455,36
40,0,1647,21
50,0,3777,24
36,0,884,18
31,0,1360,15
74,1,5129,9
68,0,1175,16
20,0,674,12
33,1,3244,18
54,0,4591,24
34,0,3844,48
36,0,3915,27
29,0,2108,6
21,0,3031,45
34,1,1501,9
28,1,1382,6
27,1,951,12
36,0,2760,24
40,0,4297,18
52,0,936,9
27,0,1168,12
26,0,5117,27
21,0,902,12
38,0,1495,12
38,0,10623,30
43,0,1935,12
26,0,1424,12
21,0,6568,24
55,0,1413,12
33,0,3074,9
45,1,3835,36
50,0,5293,27
66,0,1908,30
51,0,3342,36
39,1,932,6
31,0,3104,18
23,0,3913,36
24,0,3021,24
64,1,1364,10
26,0,625,12
23,1,1200,12
30,0,707,12
32,0,2978,24
30,0,4657,15
27,0,2613,36
27,0,10961,48
53,0,7865,12
22,0,1478,9
22,0,3149,24
26,0,4210,36
51,0,2507,9
35,0,2141,12
25,0,866,18
42,0,1544,4
30,0,1823,24
23,0,14555,6
61,0,2767,21
35,1,1291,12
39,0,2522,30
29,1,915,24
51,0,1595,6
24,0,4605,48
27,1,1185,12
35,1,3447,12
25,0,1258,24
52,0,717,12
35,0,1204,6
26,0,1925,24
22,1,433,18
39,1,666,6
46,1,2251,12
24,1,2150,30
35,0,4151,24
24,0,2030,9
27,0,7418,60
35,0,2684,24
29,0,2149,12
23,1,3812,15
57,1,1154,11
27,0,1657,12
55,1,1603,24
36,0,5302,18
57,1,2748,12
32,0,1231,10
37,0,802,15
36,0,6304,36
38,1,1533,24
45,0,8978,14
25,0,999,24
32,0,2662,18
37,1,1402,12
36,0,12169,48
28,0,3060,48
34,0,11998,30
32,0,2697,9
26,1,2404,18
49,0,1262,12
32,1,4611,6
29,0,1901,24
23,0,3368,15
50,0,1574,12
49,0,1445,18
63,0,1520,15
37,0,3878,24
35,1,10722,47
26,0,4788,48
31,0,7582,48
49,1,1092,12
48,0,1024,24
26,0,1076,12
28,0,9398,36
44,1,6419,24
56,0,4796,42
46,0,7629,48
26,1,9960,48
20,1,4675,12
45,0,1287,10
43,0,2515,18
32,0,2745,21
54,1,672,6
42,1,3804,36
37,0,1344,24
49,0,1038,10
44,0,10127,48
33,0,1543,6
24,1,4811,30
33,0,727,12
24,1,1237,8
22,0,276,9
40,0,5381,48
25,0,5511,24
26,1,3749,24
25,0,685,12
29,0,1494,4
31,0,2746,36
38,0,708,12
48,1,4351,24
32,0,701,12
27,1,3643,15
28,0,4249,30
32,0,1938,24
34,0,2910,24
28,0,2659,18
36,1,1028,18
39,0,3398,8
49,0,5801,12
34,1,1525,24
31,0,4473,36
28,0,1068,6
75,0,6615,24
30,1,1864,18
24,1,7408,60
24,1,11590,48
23,0,4110,24
44,0,3384,6
23,1,2101,13
24,1,1275,15
28,0,4169,24
31,0,1521,10
24,1,5743,24
26,1,3599,21
25,0,3213,18
33,0,4439,18
37,0,3949,10
43,1,1459,15
23,0,882,13
23,1,3758,24
34,0,1743,6
32,0,1136,9
23,1,1236,9
29,1,959,9
38,0,3229,18
28,0,6199,12
46,0,727,10
23,0,1246,24
49,0,2331,12
26,0,4463,36
28,0,776,12
23,1,2406,30
61,0,1239,18
37,0,3399,12
36,1,2247,12
21,0,1766,6
25,0,2473,18
36,0,1542,12
27,0,3850,18
22,1,3650,18
42,0,3446,36
40,1,3001,18
36,0,3079,36
33,0,6070,18
23,1,2146,10
63,0,13756,60
60,1,14782,60
37,1,7685,48
34,0,2320,18
36,0,846,7
57,0,14318,36
52,1,362,6
39,0,2212,20
38,1,12976,18
25,1,1283,22
26,0,1330,12
26,0,4272,30
25,1,2238,18
21,1,1126,18
40,0,7374,18
27,0,2326,15
27,1,1449,9
30,0,1820,18
19,1,983,12
39,0,3249,36
31,1,1957,6
31,0,2406,9
32,0,11760,39
55,1,2578,12
46,0,2348,36
46,0,1223,12
43,1,1516,24
39,0,1473,18
28,0,1887,18
27,0,8648,24
27,0,802,14
43,0,2899,18
22,0,2039,24
43,0,2197,24
27,0,1053,15
26,0,3235,24
28,0,939,12
20,1,1967,24
35,0,7253,33
42,0,2292,12
40,0,1597,10
35,1,1381,24
35,0,5842,36
33,0,2579,12
23,1,8471,18
31,1,2782,21
33,1,1042,18
20,1,3186,15
30,0,2028,12
47,0,958,12
34,0,1591,21
25,1,2762,12
21,0,2779,18
29,0,2743,28
46,0,1149,18
20,0,1313,9
55,1,1190,18
74,0,3448,5
29,0,11328,24
36,0,1872,6
33,0,2058,24
25,0,2136,9
25,0,1484,12
23,0,660,6
37,1,1287,24
65,0,3394,42
26,1,609,12
39,0,1884,12
30,1,1620,12
29,0,2629,20
41,0,719,12
30,1,5096,48
41,1,1244,9
34,1,1842,36
35,0,2576,7
55,1,1424,12
61,0,1512,15
30,0,11054,36
29,1,518,6
34,0,2759,12
35,0,2670,24
31,0,4817,24
29,1,2679,24
36,0,3905,11
35,0,3386,12
27,1,343,6
32,0,4594,18
37,0,3620,36
36,0,1721,15
34,1,3017,12
38,0,754,12
34,0,1950,18
63,0,2924,24
29,1,1659,24
32,0,7238,48
26,1,2764,33
35,0,4679,24
22,0,3092,24
23,1,448,6
28,0,654,9
36,0,1238,6
33,0,1245,18
26,1,3114,18
24,0,2569,39
25,0,5152,24
39,0,1037,12
44,0,1478,15
23,1,3573,12
26,0,1201,24
