Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,TotalSlope,NightSki,TotalLifts,LiftCapacity
Alpendorf (Ski amedé),Austria,1980,740,52,115,No,49,75398
Soldeu-Pas de la Casa/​Grau Roig/​El Tarter/​Canillo/​Encamp (Grandvalira),Andorra,2640,1710,47,210,Yes,72,99017
Oberau (Wildschönau),Austria,1130,900,30,2,No,2,1932
Dachstein West,Austria,1620,780,42,51,Yes,36,32938
Rosa Khutor,Southern Russia,2320,940,22,77,No,27,49228
Białka Tatrzańska-Kotelnica-​Kaniówka-​Bania,Poland,910,680,23,16,Yes,8,28020
Vitosha-Sofia,Bulgaria,2290,726,18,20,Yes,15,12450
Szczyrk-Skrzyczne,Poland,1257,524,20,35,No,16,22500
Jahorina,Bosnia and Herzegovina,1889,920,20,25,Yes,11,16230
Kobla-Bohinj,Slovenia,1480,540,22,23,No,6,5720
Aillons-Margériaz,France,1785,1370,19,24,No,8,10025
Gornaya Karusel,Southern Russia,960,540,22,20,No,4,15740
Kaiseregg-​Riggisalp-Schwarzsee,Switzerland,1750,1050,34,20,Yes,15,5790
St. Pierre de Chartreuse-Le Planolet,France,1800,900,21,35,No,5,12610
Buchenberg-Buching-Halblech-,Germany,1140,810,25,6,No,3,2800
Méribel (Les 3 Vallées),France,3230,1110,61,600,Yes,165,250860
​Les Menuires (Les 3 Vallées),France,3230,1110,61,600,Yes,165,250860
Les Sybelles-Le Corbier-​La Toussuire-​Les Bottières-​St Colomban des Villards-​St Sorlin-​St Jean d’Arves,France,2620,1100,44,310,Yes,72,83807
Le Grand Massif-Flaine-​Les Carroz-​Morillon-​Samoëns-​Sixt,France,2476,694,47,265,No,72,97624
Megève-​Saint-Gervais,France,2353,850,46,263,Yes,86,106362
Laax-​Flims-​Falera,Switzerland,3018,1100,68,188,No,33,46116
Vars-​Risoul-La Forêt Blanche,France,2750,1650,39,185,Yes,51,50145
Kicking Horse,France,1608,1500,39,180,No,38,40680
Le Grand Domaine-Valmorel-​Doucy-​Celliers-​St François Longchamp,France,2550,1250,44,165,No,56,60248
Galibier Thabor-Valmeinier-​Valloire,France,2594,1430,39,150,Yes,31,43300
Zillertal Arena-Zell am Ziller-​Gerlos-​Königsleiten-​Hochkrimml,Austria,2500,580,52,143,No,56,89415
La Molina-​Masella-Alp2500,Spain,2531,1616,45,141,Yes,33,39750
Auron-Saint-Etienne-de-Tinée-,France,1600,1150,34,135,No,19,25030
Alta Badia,Italy,2550,1324,52,130,No,59,89327
La Clusaz-​Manigod,France,2477,1040,37,125,Yes,49,59346
Espace Villard Corrençon-Villard-de-Lans-​Corrençon-en-Vercors,France,2050,1050,36,125,No,28,26600
Val Cenis-Lanslevillard-​Lanslebourg-​Termignon,France,2800,1300,36,125,Yes,28,39824
Isola 2000,France,2603,1800,34,120,Yes,22,21807
Obersaxen-​Mundaun-​Val Lumnezia,Switzerland,2310,1201,51,120,Yes,19,20720
Les 7 Laux-Prapoutel-​Le Pleynet-​Pipay,France,2400,1350,36,120,No,24,32232
Corvatsch-​Furtschellas,Switzerland,3303,1797,69,120,Yes,14,18510
